pp,wk,ve,tot
20,5,39,112.53389998742016
20,5,40,112.55673710988826
20,5,41,112.57957423235636
20,5,42,112.60241135482445
20,5,43,112.62524847729256
20,5,44,112.64808559976066
21,0,0,123.10550920926039
21,0,1,123.1283463317285
21,0,2,123.15118345419658
21,0,3,123.17402057666469
21,0,4,123.19685769913279
21,0,5,123.21969482160088
21,0,6,123.24253194406899
21,0,7,123.26536906653709
21,0,8,123.2882061890052
21,0,9,123.3110433114733
21,0,10,123.33388043394139
21,0,11,123.35671755640949
21,0,12,123.37955467887758
21,0,13,123.40239180134569
21,0,14,123.42522892381379
21,0,15,123.4480660462819
21,0,16,123.47090316875
21,0,17,123.49374029121809
21,0,18,123.51657741368619
21,0,19,123.5394145361543
21,0,20,123.56225165862239
21,0,21,123.58508878109049
21,0,22,123.6079259035586
21,0,23,123.6307630260267
21,0,24,123.6536001484948
21,0,25,123.6764372709629
21,0,26,123.699274393431
21,0,27,123.7221115158991
21,0,28,123.74494863836719
21,0,29,123.7677857608353
21,0,30,123.7906228833034
21,0,31,123.8134600057715
21,0,32,123.8362971282396
21,0,33,123.8591342507077
21,0,34,123.8819713731758
21,0,35,123.90480849564389
21,0,36,123.927645618112
21,0,37,123.9504827405801
21,0,38,123.9733198630482
21,0,39,123.99615698551631
21,0,40,124.0189941079844
21,0,41,124.0418312304525
21,0,42,124.0646683529206
21,0,43,124.0875054753887
21,0,44,124.1103425978568
21,1,0,121.10025345379003
21,1,1,121.12309057625814
21,1,2,121.14592769872624
21,1,3,121.16876482119434
21,1,4,121.19160194366245
21,1,5,121.21443906613054
21,1,6,121.23727618859864
21,1,7,121.26011331106675
21,1,8,121.28295043353484
21,1,9,121.30578755600294
21,1,10,121.32862467847104
21,1,11,121.35146180093915
21,1,12,121.37429892340724
21,1,13,121.39713604587534
21,1,14,121.41997316834345
21,1,15,121.44281029081154
21,1,16,121.46564741327964
21,1,17,121.48848453574774
21,1,18,121.51132165821585
21,1,19,121.53415878068395
21,1,20,121.55699590315204
21,1,21,121.57983302562015
21,1,22,121.60267014808825
21,1,23,121.62550727055634
21,1,24,121.64834439302444
21,1,25,121.67118151549255
21,1,26,121.69401863796065
21,1,27,121.71685576042876
21,1,28,121.73969288289685
21,1,29,121.76253000536495
21,1,30,121.78536712783304
21,1,31,121.80820425030115
21,1,32,121.83104137276925
21,1,33,121.85387849523735
21,1,34,121.87671561770546
21,1,35,121.89955274017355
21,1,36,121.92238986264165
21,1,37,121.94522698510976
21,1,38,121.96806410757785
21,1,39,121.99090123004595
21,1,40,122.01373835251405
21,1,41,122.03657547498216
21,1,42,122.05941259745026
21,1,43,122.08224971991835
21,1,44,122.10508684238646
